object,band,rise_time_days,decay_time_days,t0_days,peak_mag,chi2,baseline_chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,gp_dfdt_now,gp_dfdt_next,gp_d2fdt2_now,gp_predicted_mag_1d,gp_predicted_mag_2d,gp_time_to_peak,gp_extrap_slope,gp_T_peak,gp_T_now,gp_dTdt_peak,gp_dTdt_now,gp_sigma_f,gp_peak_to_peak,gp_snr_max,gp_dfdt_max,gp_dfdt_min,gp_frac_of_peak,gp_post_var_mean,gp_post_var_max,gp_skewness,gp_kurtosis,gp_n_inflections
ZTF25aaakkzs,i,5.396,4.047,10.118,19.043,0.498,4.1,8,NaN,-0.124434,0.003649,0.037871,0.053540,0.015669,19.152055,19.216362,-1.976457,0.070226,10944.8,7559.8,-15.365,-47.313,0.281091,1.005729,163.817,0.071688,-0.147720,1.037876,0.017081,0.017081,-0.314128,-1.188563,2
ZTF25aaamyjq,r,7.270,6.231,13.501,18.637,0.593,50.5,14,32.195,-0.138741,0.068001,0.014776,0.012879,-0.001898,19.284911,19.297716,-16.436187,0.014593,9936.3,4578.5,-19.476,-27.438,0.494751,1.668163,431.721,0.076901,-0.182102,1.088971,0.003472,0.003472,0.332495,-0.925610,4
ZTF25aaamyjq,g,7.270,7.270,13.501,18.709,10.759,113.7,10,20.771,-0.115615,0.030806,-0.068763,-0.049882,0.018881,18.749052,18.718406,3.584947,-0.011390,9936.3,4578.5,-19.476,-27.438,1.051251,2.906940,659.061,0.134341,-0.173898,1.155372,0.045317,0.045317,0.132105,-1.512887,1
ZTF25aaamyjq,i,5.193,4.154,16.617,19.210,0.018,11.7,6,24.925,-0.082271,-0.000065,0.022101,-0.022081,-0.044182,20.114260,20.056823,-13.268540,-0.071949,9936.3,4578.5,-19.476,-27.438,0.300848,1.516277,232.781,0.132308,-0.334384,1.031735,0.000525,0.000525,0.528437,1.020322,7
ZTF25aaaoupu,r,7.842,3.565,20.674,19.801,0.524,6.0,17,NaN,-0.026769,0.089076,0.096436,0.096485,0.000049,20.636612,20.731432,-12.174496,0.091503,6866.7,3892.2,-5.176,16.317,0.260858,0.938459,320.319,0.096648,-0.047908,1.047395,0.006238,0.006238,0.302197,-0.999357,2
ZTF25aaaoupu,g,11.407,3.565,14.971,19.476,0.215,24.7,18,20.674,-0.172169,0.062586,-0.034164,0.034792,0.068957,19.811391,19.861292,9.089532,0.020025,6866.7,3892.2,-5.176,16.317,0.630054,1.899464,256.590,0.163668,-0.421419,1.084402,0.007948,0.007948,0.490781,-1.270500,4
ZTF25aaaoxjm,g,4.046,10.114,8.091,18.225,0.298,107.1,17,19.217,-0.142241,-0.073366,0.027126,-0.010981,-0.038107,20.557890,20.511411,-31.468329,-0.076413,13221.2,4389.0,59.114,46.836,0.780211,2.342989,488.898,0.153309,-0.337144,1.082385,0.004544,0.004544,0.030173,-1.358536,7
ZTF25aaaoxjm,r,5.057,8.091,10.114,18.290,0.291,195.9,17,15.171,-0.184327,0.100272,0.095266,0.104601,0.009335,18.690982,18.802626,-4.845750,0.117073,13221.2,4389.0,59.114,46.836,1.006637,3.321480,424.151,0.124347,-0.352452,1.181604,0.003263,0.003263,0.072485,-1.094281,4
ZTF25aaapgir,g,17.610,7.337,41.089,18.846,0.276,37.5,6,39.622,-0.062445,0.037713,-0.006256,-0.000375,0.005880,18.845373,18.850636,1.171028,0.010620,9094.3,6106.8,7.680,-85.048,0.780251,2.484781,309.754,0.045346,-0.095255,1.055831,0.002136,0.002136,0.716920,-0.732285,2
ZTF25aaapgir,r,7.337,7.337,36.687,18.908,1.001,31.9,13,39.622,0.020149,0.037305,0.006720,0.007744,0.001024,19.544037,19.554390,-20.169914,0.014394,9094.3,6106.8,7.680,-85.048,0.459794,1.442039,415.796,0.066927,-0.104176,1.066876,0.016380,0.016380,-0.172607,-1.235030,5
ZTF25aaapgir,i,2.935,8.805,30.817,19.295,0.009,5.9,6,29.349,0.008521,-0.017394,-0.020682,0.000387,0.021070,19.443574,19.467947,-10.176410,0.046102,9094.3,6106.8,7.680,-85.048,0.232667,0.982272,202.346,0.082287,-0.174011,1.025342,0.000186,0.000186,-0.106890,-0.387457,6
