object,band,rise_time_days,decay_time_days,t0_days,peak_mag,chi2,baseline_chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,gp_dfdt_now,gp_dfdt_next,gp_d2fdt2_now,gp_predicted_mag_1d,gp_predicted_mag_2d,gp_time_to_peak,gp_extrap_slope,gp_T_peak,gp_T_now,gp_dTdt_peak,gp_dTdt_now,gp_sigma_f,gp_peak_to_peak,gp_snr_max,gp_dfdt_max,gp_dfdt_min,gp_frac_of_peak,gp_post_var_mean,gp_post_var_max,gp_skewness,gp_kurtosis,gp_n_inflections
ZTF25aahfvex,r,20.168,3.184,24.413,17.346,0.333,203.6,24,41.397,-0.191463,0.080465,0.057220,0.059175,0.001955,18.045182,18.108252,-18.594389,0.071072,18574.9,8558.8,78.847,-231.522,0.610735,3.115151,991.837,0.121618,-0.503851,1.085366,0.001706,0.001706,2.122031,5.001062,6
ZTF25aahfvex,g,7.430,8.492,12.737,17.349,2.000,470.0,8,23.352,-0.288336,0.030173,-0.438105,-0.397967,0.040138,18.676510,18.327458,8.736385,-0.294524,18574.9,8558.8,78.847,-231.522,0.931918,3.592991,658.914,0.116499,-0.481075,1.130291,0.015822,0.015822,0.368022,-0.883614,3
ZTF25aahmbaq,r,NaN,28.104,59.891,17.980,0.718,24.0,159,NaN,0.014151,0.000395,0.013438,0.013325,-0.000113,18.525739,18.538947,-36.964468,0.013087,13505.7,7688.8,NaN,30.951,0.353295,1.175779,345.590,0.014772,0.000037,1.065395,0.011687,0.011687,-1.123258,-0.062317,1
ZTF25aahmbaq,g,NaN,28.104,59.891,18.476,0.479,20.5,105,NaN,0.017016,-0.004911,0.017862,0.018396,0.000534,19.715560,19.734416,-135.822928,0.019241,13505.7,7688.8,NaN,30.951,0.449621,1.649960,326.473,0.019902,-0.017750,1.068782,0.015256,0.015256,-0.593907,-0.370481,4
ZTF25aahmbod,r,5.689,2.529,21.493,18.298,0.012,40.2,8,NaN,-0.089428,0.087475,0.294835,0.252289,-0.042546,20.114432,20.259691,21.462367,0.003200,11252.7,7902.3,29.192,21.760,0.585963,1.981588,216.902,0.269155,-0.243830,1.039257,0.000277,0.000277,0.588020,-0.649368,4
ZTF25aahmbod,g,4.425,2.529,21.493,18.950,0.046,12.2,6,15.804,0.072957,0.105699,0.114760,0.197409,0.082649,19.294453,19.526019,-2.352911,0.194104,11252.7,7902.3,29.192,21.760,0.537588,1.940097,283.979,0.402588,-0.303091,1.043098,0.001046,0.001046,0.526232,-0.366388,6
ZTF25aahmbwa,g,7.949,9.274,14.573,18.563,0.183,33.1,6,23.847,-0.080136,-0.014161,0.096268,0.098796,0.002528,19.241677,19.341281,-9.366047,0.098759,11253.4,5707.0,-11.679,122.421,0.552393,1.611179,313.891,0.099412,-0.127458,1.068123,0.003383,0.003383,-0.602960,-1.172383,3
ZTF25aahmbwa,r,6.624,9.274,11.923,18.661,0.273,29.0,19,NaN,-0.025857,0.071381,-0.022872,-0.024924,-0.002052,19.464886,19.441298,-30.017982,-0.018519,11253.4,5707.0,-11.679,122.421,0.559032,1.912410,308.947,0.127567,-0.089448,1.091526,0.005078,0.005078,0.715712,-0.393445,6
ZTF25aahmcwz,r,125.771,NaN,162.709,20.071,0.631,1.0,40,NaN,0.012686,-0.025085,-0.031768,-0.031748,0.000020,20.419979,20.388511,17.941331,-0.030937,5651.4,4969.7,NaN,3.857,0.206101,0.724008,214.538,0.019198,-0.031527,1.000000,0.020548,0.020548,-0.162540,-0.842042,4
ZTF25aahmcwz,g,NaN,20.534,36.938,20.152,0.714,1.2,31,NaN,0.004478,0.004364,0.004726,0.004730,0.000004,20.356489,20.361223,-44.002407,0.004738,5651.4,4969.7,NaN,3.857,0.171757,0.574141,271.428,0.004760,0.004138,1.028490,0.017905,0.017905,-0.011370,-1.235438,0
ZTF25aahmdjb,g,9.845,9.845,18.284,17.549,5.442,953.9,17,23.909,-0.118365,0.026000,0.035414,0.033339,-0.002076,20.177625,20.209017,-37.567870,0.029547,20122.6,5897.6,79.228,-62.528,1.000158,2.888220,877.784,0.102725,-0.164851,1.164582,0.014451,0.014451,-0.035565,-1.465775,1
ZTF25aahmdjb,r,11.252,9.845,19.690,17.169,15.333,1367.9,21,25.316,-0.176260,0.032059,0.069145,0.074053,0.004908,17.561564,17.639429,-7.305180,0.080632,20122.6,5897.6,79.228,-62.528,0.847318,2.982030,1358.724,0.083313,-0.281429,1.142588,0.037865,0.037865,-0.092795,-1.264543,2
ZTF25aahmecj,r,7.131,9.983,15.688,18.408,0.149,30.7,10,35.655,-0.051870,0.033703,0.037594,0.041601,0.004007,19.491784,19.537281,-31.264259,0.049114,12526.2,4441.8,-23.321,31.827,0.610922,1.896581,253.386,0.058018,-0.071585,1.102202,0.002063,0.002063,0.349887,-1.077574,4
ZTF25aahmecj,g,7.131,11.410,14.262,18.372,0.579,54.5,8,24.245,-0.074409,0.007809,0.099172,0.095412,-0.003760,19.789839,19.880950,-17.709446,0.086424,12526.2,4441.8,-23.321,31.827,0.986623,2.701696,395.958,0.105837,-0.125328,1.142797,0.004445,0.004445,-0.166927,-1.536719,1
ZTF25aahrlwa,r,NaN,12.883,37.970,16.754,3.378,2097.3,51,NaN,0.046346,0.026622,0.029837,0.029941,0.000104,18.454526,18.484674,-40.996424,0.030451,21287.7,7471.8,NaN,10.781,0.846577,2.802504,1454.970,0.050072,0.007824,1.167273,0.011369,0.011369,-0.223290,-1.109499,3
ZTF25aahrlwa,g,NaN,9.662,37.970,17.726,1.741,122.2,15,NaN,0.048088,0.003933,0.061117,0.061083,-0.000034,17.790398,17.851166,-0.062014,0.060178,21287.7,7471.8,NaN,10.781,0.498143,1.805452,774.949,0.061013,-0.014098,1.098419,0.003609,0.003609,-0.633811,-0.444156,2
ZTF25aahsvoc,g,NaN,4.075,0.000,15.913,0.384,15516.3,8,NaN,0.158037,-0.004339,0.068973,0.081484,0.012511,19.191468,19.285495,-28.891655,0.099885,31589.0,10786.0,-1073.515,-84.820,1.134948,3.681310,2678.981,0.245946,-0.175269,1.200953,0.000243,0.000243,-0.072666,-1.395924,5
ZTF25aahsvoc,r,3.260,7.334,4.889,16.230,0.012,4681.5,14,6.519,-0.092164,0.024066,-0.308409,0.308409,0.616818,16.899915,17.351488,-8.242327,0.178808,31589.0,10786.0,-1073.515,-84.820,0.592711,3.659441,2363.538,0.492913,-2.086745,1.128816,0.000002,0.000002,0.855147,4.085317,14
ZTF25aahtbjr,g,6.921,17.303,12.112,18.063,0.752,310.5,36,27.685,-0.093657,0.040882,-0.020870,-0.024719,-0.003848,20.412086,20.387031,-53.779466,-0.021686,14369.5,4102.3,40.941,-101.406,0.993432,3.132198,615.977,0.125195,-0.321048,1.173402,0.015860,0.015860,-0.183167,-1.346141,8
ZTF25aahtbjr,r,8.652,8.652,20.764,18.038,4.827,131.0,105,27.685,-0.062922,0.032246,-0.081057,-0.077888,0.003170,18.322637,18.250113,7.851807,-0.064953,14369.5,4102.3,40.941,-101.406,0.636930,2.397571,583.962,0.079789,-0.081978,1.132921,0.038072,0.038072,0.246093,-0.865957,6
ZTF25aahtica,r,8.316,8.316,16.632,18.641,0.976,53.3,20,37.421,-0.123453,0.029141,-0.043550,-0.027625,0.015925,18.651319,18.638902,1.727810,0.001757,11376.3,3989.6,59.690,68.126,0.617607,1.965748,405.639,0.079399,-0.170589,1.093758,0.009297,0.009297,0.247714,-1.285419,4
ZTF25aahtica,g,9.702,9.702,18.018,18.559,0.491,70.3,13,22.176,-0.130517,0.014602,0.097032,0.094446,-0.002585,19.555366,19.646518,-11.917968,0.087439,11376.3,3989.6,59.690,68.126,1.028451,3.019000,302.889,0.098596,-0.165127,1.151070,0.009423,0.009423,-0.011260,-1.366013,4
ZTF25aahxaqz,g,11.470,9.558,16.249,18.166,0.026,57.7,6,4.779,-0.119879,0.032714,-0.219084,0.219036,0.438120,18.613913,18.968109,-10.699876,0.164237,13894.8,6931.0,-753.244,-435.714,0.449626,2.861562,464.508,0.437206,-0.847158,1.083136,0.000434,0.000434,1.688700,6.429357,10
ZTF25aahxijy,g,6.961,5.414,11.602,17.649,2.880,98.5,15,22.431,-0.101908,0.091666,0.104989,0.103448,-0.001542,19.126415,19.227818,-17.250111,0.098877,16725.2,8157.3,7.010,-231.551,0.689832,2.195972,657.388,0.106440,-0.151592,1.124426,0.004833,0.004833,0.584220,-0.968235,1
ZTF25aahxijy,r,6.188,6.961,10.055,17.875,0.526,19.4,19,32.486,-0.124264,0.020245,-0.101812,-0.069131,0.032681,17.939964,17.898947,4.113710,-0.019438,16725.2,8157.3,7.010,-231.551,0.335047,1.133591,635.137,0.087597,-0.208373,1.051806,0.001886,0.001886,-0.070612,-1.428510,4
ZTF25aaidlpx,g,10.916,9.552,19.103,17.155,4.498,620.0,9,21.833,-0.170434,0.080262,0.091966,0.090341,-0.001625,18.077952,18.166041,-11.814691,0.085447,20620.9,5951.3,10.995,-81.301,1.159514,3.686644,800.326,0.101558,-0.216529,1.214896,0.015846,0.015846,0.233035,-1.168883,4
ZTF25aaidlpx,r,15.010,6.823,21.833,17.449,2.056,681.3,16,35.478,-0.184239,0.036782,0.063214,0.059027,-0.004187,17.926910,17.979826,-9.129949,0.045584,20620.9,5951.3,10.995,-81.301,0.702214,3.175404,1067.268,0.064845,-0.403871,1.098816,0.004745,0.004745,0.947465,0.974483,5
ZTF25aaifgjv,g,1.711,2.138,8.125,18.045,0.005,52.1,7,NaN,0.004457,0.087414,0.051557,-0.006567,-0.058124,18.870922,18.812621,-12.828975,-0.089002,14691.1,10013.7,-65.180,-165.242,0.230352,0.832303,963.099,0.126502,-0.073617,1.046123,0.000003,0.000003,0.616115,-0.541981,5
ZTF25aaifhpr,g,5.504,NaN,9.989,18.927,1.001,60.9,6,NaN,-0.255778,-0.049684,-0.224806,-0.198715,0.026090,19.396793,19.229676,5.912650,-0.131686,8808.8,8546.9,-3.716,-244.850,0.524141,1.668818,502.796,-0.009291,-0.258050,1.000000,0.017694,0.017694,0.511761,-1.067005,1
ZTF25aaifhpr,r,3.873,0.815,6.931,19.267,0.293,42.4,6,NaN,-0.395157,0.098253,-0.397996,-0.362653,0.035342,19.911086,19.616525,4.828042,-0.206923,8808.8,8546.9,-3.716,-244.850,0.561566,1.835263,385.880,0.133345,-0.402415,1.012903,0.005425,0.005425,1.019954,-0.336341,1
ZTF25aaigxcy,r,2.160,79.932,2217.689,18.049,7.254,76.5,33,8.641,0.030829,0.012982,0.047182,0.059372,0.012190,20.789460,20.995637,-28.101626,0.127783,14161.0,7530.9,-25.007,-64.954,0.577925,2.979319,615.646,0.414947,-0.841012,1.057622,0.033592,0.033592,1.607078,2.767677,21
ZTF25aaigxcy,g,4.321,58.329,2219.849,18.184,3.249,180.3,22,NaN,0.025532,0.023895,0.026066,0.051863,0.025797,19.241350,19.316074,-69.975662,0.090148,14161.0,7530.9,-25.007,-64.954,0.792071,3.163620,679.189,0.158359,-0.432484,1.094547,0.014545,0.014545,0.863939,0.274874,12
ZTF25aaiitra,g,2.959,2.367,6.510,19.077,0.009,16.2,6,7.694,-0.335656,0.022828,-0.336297,-0.487640,-0.151343,20.136880,19.633388,4.544501,-0.378958,8562.4,7148.6,2.711,-223.706,0.421814,1.999025,215.861,0.215904,-0.516881,1.049560,0.000202,0.000202,0.700108,1.613742,4
ZTF25aaiitra,r,8.877,2.959,15.387,18.530,0.925,82.1,8,NaN,-0.251817,0.058531,0.055771,0.059447,0.003676,18.788108,18.849394,-5.592748,0.061628,8562.4,7148.6,2.711,-223.706,0.689429,2.560307,441.144,0.061684,-0.268639,1.035931,0.014584,0.014584,1.373186,0.838209,2
ZTF25aaikmwc,r,15.320,7.149,21.448,18.587,0.375,64.4,12,26.554,-0.193945,-0.036882,0.117726,0.130670,0.012944,19.208641,19.347767,-8.546882,0.141413,9545.7,5680.7,-25.617,-56.924,0.616060,2.429353,567.096,0.141427,-0.288835,1.057069,0.002162,0.002162,0.578525,-0.321780,5
ZTF25aaikmwc,g,6.128,5.107,13.277,19.210,0.025,13.9,6,23.490,-0.201449,0.018552,0.100910,0.115497,0.014587,19.860683,19.980920,-14.778653,0.114703,9545.7,5680.7,-25.617,-56.924,0.588460,2.197505,247.874,0.119384,-0.259942,1.070760,0.000596,0.000596,0.291035,-0.755183,6
ZTF25aailxex,r,5.705,3.423,10.269,17.770,0.892,55.2,15,21.109,-0.304608,0.083532,0.079432,0.085213,0.005781,18.494163,18.583659,-13.635471,0.090886,15737.1,7888.4,73.082,-77.468,0.571820,2.246897,649.589,0.090911,-0.342155,1.056088,0.001766,0.001766,1.352084,1.149659,4
ZTF25aailxex,g,3.994,3.994,8.558,17.999,0.356,101.8,15,10.840,-0.290395,0.113496,-0.273205,-0.202963,0.070242,18.149579,18.030379,2.640985,-0.033508,15737.1,7888.4,73.082,-77.468,0.668369,2.050759,504.764,0.171176,-0.333531,1.112493,0.003504,0.003504,-0.052406,-1.250799,4
ZTF25aainerh,g,5.402,4.631,14.663,18.174,0.700,412.0,9,11.576,-0.172135,0.016249,0.062185,0.055828,-0.006357,19.652665,19.696493,-23.152579,0.028288,13846.2,7189.9,70.461,-207.279,0.624722,2.304815,890.817,0.183186,-0.237567,1.078302,0.001374,0.001374,-0.015180,-0.573981,4
ZTF25aaiokdh,r,12.949,6.474,23.739,18.808,0.644,60.3,18,33.451,-0.093683,0.052873,-0.009466,-0.002232,0.007234,18.808391,18.813178,0.726446,0.011534,10376.9,6064.8,-22.193,-73.802,0.481083,1.621059,549.479,0.060280,-0.097874,1.070416,0.009809,0.009809,0.332179,-1.160611,2
ZTF25aaiokdh,g,7.553,6.474,17.265,18.679,0.444,58.0,9,19.423,-0.164643,0.014387,0.086732,0.087216,0.000484,19.139181,19.223366,-6.734565,0.078249,10376.9,6064.8,-22.193,-73.802,0.546928,2.285418,384.536,0.087405,-0.187312,1.059997,0.003496,0.003496,0.564363,0.350289,4
ZTF25aaiotvj,g,10.623,9.295,25.229,16.805,1.402,8109.5,13,19.917,-0.226587,0.042644,0.114598,0.123056,0.008458,17.542977,17.673177,-9.795596,0.135735,25311.9,8726.0,-25.609,-31.577,1.377227,4.635015,2067.779,0.140524,-0.326073,1.178881,0.005326,0.005326,0.299033,-0.822631,3
ZTF25aaiotvj,r,5.311,6.639,26.556,16.920,0.096,73.1,9,22.573,-0.007943,0.040938,0.072298,0.084092,0.011794,17.180447,17.271218,-4.486562,0.092239,25311.9,8726.0,-25.609,-31.577,0.502544,1.777882,440.021,0.091515,-0.093400,1.095805,0.000351,0.000351,0.085274,-0.634116,5
ZTF25aaiouoy,r,8.311,8.311,16.623,17.709,6.985,427.4,36,36.016,-0.068119,0.046758,-0.017190,-0.006796,0.010394,17.708191,17.711376,1.700061,0.012538,17579.7,5237.2,40.080,-30.707,0.683075,2.151396,1081.882,0.071581,-0.097432,1.121483,0.018186,0.018186,0.497045,-0.961511,4
ZTF25aaiouoy,g,6.926,12.467,12.467,17.576,7.575,1951.1,31,22.164,-0.184751,0.022837,0.071641,0.074926,0.003284,19.855205,19.932751,-32.395015,0.078954,17579.7,5237.2,40.080,-30.707,1.098053,3.132741,1238.429,0.110323,-0.368000,1.178236,0.018793,0.018793,-0.132287,-1.483454,6
ZTF25aaipaml,g,8.649,8.649,16.216,17.863,0.351,107.4,18,22.703,-0.195354,0.044126,-0.204583,-0.224039,-0.019456,20.158991,19.921251,16.216348,-0.245194,16439.8,7386.3,39.779,-90.201,0.833374,2.520410,395.272,0.100475,-0.245877,1.128623,0.006333,0.006333,0.103525,-1.481643,2
ZTF25aaipaml,r,9.730,6.487,19.460,17.708,1.855,31.8,15,32.433,-0.103122,0.034664,0.030554,0.037790,0.007236,17.812876,17.856463,-3.469387,0.047901,16439.8,7386.3,39.779,-90.201,0.420178,1.531628,377.001,0.052258,-0.111154,1.068225,0.008682,0.008682,0.175791,-0.943497,3
ZTF25aaipveb,g,6.206,5.430,12.412,18.777,0.279,14.4,8,17.842,-0.183208,0.019184,-0.092839,-0.064020,0.028819,18.818034,18.782858,2.391179,-0.007318,10015.4,6061.3,23.350,9.002,0.572887,1.818564,251.320,0.111878,-0.205915,1.080497,0.004095,0.004095,-0.145256,-1.459260,2
ZTF25aaipveb,r,7.757,4.654,14.739,18.961,0.928,7.7,31,NaN,-0.116252,0.015068,0.042319,0.046796,0.004477,19.144989,19.194722,-5.369852,0.051196,10015.4,6061.3,23.350,9.002,0.320189,1.259268,367.220,0.051375,-0.131433,1.036162,0.011327,0.011327,0.474918,-0.383490,2
ZTF25aaipwch,g,7.443,7.443,13.823,18.442,0.873,112.3,17,22.329,-0.162801,0.073358,0.059377,0.063523,0.004146,18.737221,18.804067,-6.114670,0.069773,12066.5,4567.1,12.963,-183.440,0.829647,2.728514,602.193,0.096771,-0.224669,1.147949,0.008762,0.008762,0.204122,-1.242909,3
ZTF25aaipwch,r,6.380,7.443,13.823,18.503,0.519,47.7,19,29.772,-0.114917,0.043697,0.023055,0.017913,-0.005142,19.429901,19.444305,-24.164161,0.013056,12066.5,4567.1,12.963,-183.440,0.437660,1.490901,624.700,0.075021,-0.142814,1.080577,0.002393,0.002393,0.059623,-1.200962,6
ZTF25aaiquqz,g,NaN,14.483,0.000,19.331,1.001,13.2,30,NaN,0.015800,0.015965,0.017127,0.017265,0.000138,19.629779,19.647177,-17.977836,0.017525,8572.3,5414.1,NaN,-25.036,0.411459,1.349002,311.107,0.018747,0.014048,1.069785,0.024702,0.024702,0.004207,-1.275897,1
ZTF25aaiquqz,r,NaN,12.874,0.000,19.099,1.236,5.0,103,NaN,0.009407,0.006500,0.009382,0.009367,-0.000014,19.240879,19.250230,-14.054850,0.009334,8572.3,5414.1,NaN,-25.036,0.193690,0.646677,388.950,0.009442,0.005752,1.033859,0.013417,0.013417,-0.160958,-1.212884,0
ZTF25aairaww,g,8.974,6.282,17.949,17.998,4.065,413.7,10,26.923,-0.092614,0.093298,0.047610,0.056590,0.008980,18.192583,18.257499,-4.978204,0.072513,14791.8,7537.2,-15.071,-163.401,0.600165,2.007241,895.603,0.102998,-0.098542,1.111528,0.008029,0.008029,0.571518,-0.834599,2
ZTF25aairaww,r,9.872,6.282,16.154,18.053,1.306,229.4,18,28.718,-0.239820,0.020254,-0.319295,-0.323072,-0.003777,20.475958,20.156379,16.153835,-0.309286,14791.8,7537.2,-15.071,-163.401,0.622825,2.745957,796.799,0.053377,-0.323118,1.051561,0.004409,0.004409,1.523974,2.314765,2
ZTF25aairaxg,g,5.264,12.284,17.548,17.775,1.513,1395.8,25,19.303,-0.077356,0.032737,0.024564,0.033421,0.008857,20.106760,20.144104,-68.438183,0.035783,17448.1,6955.9,-55.608,148.534,0.718171,2.417693,1235.295,0.108398,-0.168523,1.129321,0.009058,0.009058,-0.522100,-0.846579,9
ZTF25aairaxg,r,10.529,7.019,21.058,17.536,0.391,1010.7,23,31.587,-0.085539,0.021889,-0.007857,0.010080,0.017936,17.993155,18.025149,-10.125442,0.049867,17448.1,6955.9,-55.608,148.534,0.624688,2.086649,1326.358,0.163351,-0.218675,1.098520,0.000500,0.000500,-0.146141,-1.173911,14
ZTF25aairels,r,1.587,4.760,20.099,18.849,0.027,12.5,6,NaN,-0.032971,0.014903,-0.110210,0.071282,0.181491,18.992235,19.056995,-3.893688,0.051880,9037.2,7605.3,-360.539,-209.387,0.154530,0.869261,372.625,0.605903,-0.825156,1.010842,0.000076,0.000076,1.299072,3.615698,7
ZTF25aairels,g,4.760,4.231,8.991,19.194,0.704,10.7,8,NaN,-0.029417,0.062295,-0.036169,-0.032674,0.003495,19.293624,19.264898,7.031978,-0.024355,9037.2,7605.3,-360.539,-209.387,0.203132,0.702529,348.830,0.065329,-0.039731,1.036602,0.008574,0.008574,1.057037,-0.082332,0
ZTF25aairenk,g,6.776,5.270,13.551,18.151,2.647,179.4,18,21.079,-0.159726,0.068135,-0.100166,-0.125520,-0.025354,19.625768,19.478702,13.551063,-0.163325,13644.0,8265.7,-19.556,48.593,0.529319,1.600091,839.640,0.098497,-0.175825,1.083497,0.002340,0.002340,0.197466,-1.404632,2
ZTF25aairenk,r,5.270,4.517,13.551,18.260,0.139,93.5,12,27.102,-0.101460,0.011551,-0.090195,-0.121418,-0.031223,19.112095,18.968087,9.459547,-0.154882,13644.0,8265.7,-19.556,48.593,0.356245,1.134620,759.725,0.075102,-0.155470,1.036202,0.000193,0.000193,0.304373,-1.125719,4
ZTF25aairevh,g,6.046,5.290,12.092,16.739,1.771,2220.8,10,18.894,-0.177050,0.096048,-0.025360,-0.056104,-0.030744,19.008655,18.926658,-24.939694,-0.101693,26692.5,10943.8,117.513,-264.422,0.784690,2.351567,1623.693,0.165961,-0.200832,1.138971,0.000527,0.000527,0.418340,-1.169147,2
ZTF25aairevh,r,6.046,5.290,11.336,16.753,2.629,1013.3,22,18.138,-0.194206,0.061508,-0.202337,-0.177001,0.025336,17.187587,17.038934,6.278655,-0.118196,26692.5,10943.8,117.513,-264.422,0.483080,1.806778,1755.512,0.133363,-0.260911,1.092584,0.001277,0.001277,0.065774,-0.931651,2
ZTF25aairfin,g,3.305,14.874,6.610,18.864,0.733,85.5,24,NaN,0.009652,0.047159,-0.018195,-0.036360,-0.018165,20.651329,20.600288,-49.267456,-0.061063,10351.8,5016.1,-10.789,27.562,0.714811,2.210168,566.760,0.094329,-0.063926,1.112869,0.005308,0.005308,-0.030942,-1.322137,7
ZTF25aairfin,r,3.305,18.179,6.610,18.746,1.832,19.1,48,NaN,0.001503,0.017329,0.012592,0.013038,0.000446,18.917359,18.930830,-24.446843,0.013891,10351.8,5016.1,-10.789,27.562,0.337474,1.017300,417.962,0.019047,-0.003627,1.054267,0.013530,0.013530,0.452120,-1.218260,1
ZTF25aairhqk,g,NaN,48.896,32.915,17.339,9.886,486.9,73,NaN,0.010716,0.005565,0.011007,0.011165,0.000158,17.597037,17.608355,-31.044792,0.011465,21923.0,9544.1,NaN,-15.915,0.602390,1.998599,1963.160,0.013355,0.003813,1.115265,0.010481,0.010481,-0.544851,-0.962746,2
ZTF25aairhqk,r,5.433,48.896,38.348,17.004,9.542,1112.4,154,NaN,0.007354,0.005510,0.009548,0.009788,0.000240,17.170934,17.180955,-33.466822,0.010246,21923.0,9544.1,NaN,-15.915,0.510128,1.622145,2628.395,0.013068,-0.001671,1.095400,0.008728,0.008728,-0.498661,-1.013565,3
ZTF25aairncf,r,NaN,23.109,21.998,16.972,1.843,160.4,68,NaN,0.034700,0.004384,0.009289,0.008649,-0.000640,20.102488,20.110500,-102.830278,0.007380,23138.1,5427.4,NaN,21.842,1.059684,3.187065,415.355,0.039145,-0.003655,1.186736,0.014566,0.014566,-0.456688,-1.217594,1
ZTF25aairncf,g,NaN,17.974,21.998,17.146,2.471,85.5,44,NaN,0.058696,0.005651,0.017703,0.018300,0.000597,19.930661,19.949498,-84.842998,0.019308,23138.1,5427.4,NaN,21.842,0.938401,3.214692,318.906,0.064875,-0.013915,1.182444,0.054734,0.054734,-1.015495,-0.140290,3
ZTF25aaisert,g,2.790,44.643,74.681,19.897,0.218,0.5,37,NaN,0.002938,0.000684,0.002882,0.012315,0.009433,20.067125,20.088410,-84.981266,0.025427,5750.8,5272.7,62.766,-10.980,0.103649,0.583609,127.439,0.073170,-0.075371,1.016103,0.010656,0.010656,0.489369,1.448140,20
ZTF25aaisert,r,2.790,30.692,80.261,20.080,0.176,0.6,41,NaN,0.004278,-0.003106,0.008718,0.014204,0.005486,20.211176,20.229643,-81.452595,0.020659,5750.8,5272.7,62.766,-10.980,0.120201,0.572140,135.276,0.049845,-0.048245,1.012091,0.007480,0.007480,0.580670,0.385778,20
ZTF25aaisfid,r,14.190,10.642,30.153,18.474,256.059,318.2,38,33.701,-0.088758,0.059447,0.038267,0.032643,-0.005624,21.347488,21.374233,-56.759078,0.020654,12530.5,4676.3,5.467,-64.525,0.839107,2.841185,845.551,0.066259,-0.097881,1.153797,0.141010,0.141010,0.183274,-1.076531,4
ZTF25aaisfid,g,7.095,14.190,14.190,17.589,1.149,515.8,16,19.511,-0.118648,-0.049039,0.113901,0.120287,0.006386,18.932920,19.058021,-15.813274,0.127615,12530.5,4676.3,5.467,-64.525,1.023490,3.474639,773.919,0.127556,-0.343620,1.122691,0.012821,0.012821,-0.433287,-0.899565,6
ZTF25aaismsi,r,NaN,2.938,0.000,18.759,0.699,0.7,22,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,18.759239,18.759239,-12.995509,0.000000,10574.1,10574.1,NaN,-0.001,0.000001,0.000003,286.652,0.000000,0.000000,1.000000,0.008627,0.008627,0.000000,-1.200960,0
ZTF25aaisnsy,g,7.354,8.579,13.482,17.197,2.030,1700.6,26,20.836,-0.129567,0.029961,-0.057824,-0.033474,0.024350,17.206584,17.195738,2.343855,0.009501,21249.2,7657.1,69.332,-39.805,0.915815,2.711392,1531.157,0.086647,-0.221728,1.157668,0.002067,0.002067,0.021670,-1.423074,4
ZTF25aaisnsy,r,11.031,7.354,15.933,17.259,5.618,472.0,22,29.415,-0.132761,0.067321,-0.040902,-0.031310,0.009592,17.322996,17.298213,4.809097,-0.019481,21249.2,7657.1,69.332,-39.805,0.554031,2.063216,1480.975,0.088857,-0.315744,1.101554,0.001145,0.001145,0.450224,-0.671865,3
ZTF25aaitagu,g,7.952,11.928,17.982,17.985,0.295,281.0,14,23.856,-0.175137,-0.032638,0.042317,0.050008,0.007691,19.660233,19.719379,-27.142117,0.067994,14349.6,6828.6,-8.522,5.512,0.786275,2.483540,700.120,0.108321,-0.242382,1.090632,0.001940,0.001940,-0.240450,-1.393632,7
ZTF25aaitagu,r,14.579,7.952,24.608,18.140,0.457,240.3,19,39.760,-0.164578,0.044790,0.044698,0.054002,0.009304,18.320180,18.381531,-5.441724,0.065854,14349.6,6828.6,-8.522,5.512,0.643218,2.546777,849.529,0.074955,-0.228440,1.091668,0.001434,0.001434,0.698519,-0.193518,5
ZTF25aaitagy,r,16.280,4.284,21.421,18.162,0.827,94.0,16,29.132,-0.143492,-0.041701,-0.018661,-0.039262,-0.020601,18.879341,18.824372,-13.675977,-0.064820,13528.8,8546.9,-10.095,-44.284,0.365283,1.431281,777.298,0.101503,-0.193512,1.019864,0.001695,0.001695,0.819787,0.016172,5
ZTF25aaitagy,g,7.711,5.998,14.566,18.243,1.730,131.7,21,25.705,-0.120213,0.071231,0.070005,0.070837,0.000832,19.500040,19.571677,-20.585465,0.072287,13528.8,8546.9,-10.095,-44.284,0.510001,1.677304,746.322,0.072706,-0.147926,1.091941,0.011831,0.011831,0.337022,-1.142145,3
ZTF25aaitrgx,r,10.979,5.988,17.965,18.350,2.143,131.1,25,25.949,-0.233268,0.002124,0.060842,0.059325,-0.001517,18.914093,18.970902,-10.948479,0.053353,12183.9,6209.1,-13.001,-69.045,0.677348,2.999210,585.949,0.061324,-0.291369,1.049809,0.011203,0.011203,1.471640,2.214866,3
ZTF25aaitrgx,g,7.984,7.984,14.971,18.538,2.272,34.4,8,NaN,-0.029745,0.067277,0.062229,0.057219,-0.005010,20.427504,20.479424,-29.920180,0.046390,12183.9,6209.1,-13.001,-69.045,0.673287,2.029200,517.891,0.086589,-0.037574,1.109463,0.005012,0.005012,0.760466,-0.921877,1
ZTF25aaittoe,r,14.368,4.789,20.116,18.415,1.129,47.0,26,31.610,-0.250190,0.017009,0.052869,0.048051,-0.004818,18.702119,18.744563,-5.923464,0.038403,12550.1,6402.6,-14.695,-236.851,0.626061,2.742716,598.444,0.082458,-0.361328,1.053055,0.004673,0.004673,1.728054,2.918916,7
