object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aaapgir,g,Bazin,4.718,33.115,30.000,0.233,6,71.906,-0.049722,0.027390,NaN,NaN
ZTF25aaapkzn,r,Bazin,6.040,8.661,27.883,1.706,18,46.917,-0.045239,0.091453,NaN,NaN
ZTF25aaapkzn,g,Bazin,4.476,26.130,5.322,1.990,11,46.917,-0.096415,0.070246,NaN,NaN
ZTF25aaapkzn,i,Bazin,13.470,1.000,-58.273,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaapqqt,g,Bazin,3.409,15.235,9.733,1.037,35,30.163,-0.224456,0.073931,NaN,NaN
ZTF25aaapqqt,r,Bazin,33.115,1.000,-100.000,23.856,31,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaapqqt,i,Bazin,5.207,8.475,18.808,0.444,5,30.163,-0.078198,0.099169,NaN,NaN
ZTF25aaaprdb,g,Full,2.855,95.679,92.510,12.812,67,143.768,-0.361015,0.011348,NaN,NaN
ZTF25aaaprdb,r,Full,2.040,1808.042,91.525,529.646,56,40.457,-0.498891,0.000601,NaN,NaN
ZTF25aaaprdb,i,Full,5.432,234.079,100.000,14.713,6,143.768,-0.184693,0.004638,NaN,NaN
ZTF25aaaqkbi,r,Bazin,18.477,14.371,30.000,8.796,18,54.997,0.029003,0.025808,NaN,NaN
ZTF25aaaqkbi,g,Bazin,1.000,15.441,-0.338,6.335,13,65.435,0.057447,0.024979,NaN,NaN
ZTF25aaaqkbi,i,Bazin,7.423,13.184,30.000,0.401,4,79.887,-0.037134,0.023484,NaN,NaN
ZTF25aaasqpa,r,Full,3.383,14.790,28.741,6.423,10,30.964,-0.157996,0.072923,NaN,NaN
ZTF25aaasqpa,g,Full,3.990,10.862,30.858,6.056,7,30.964,-0.180866,0.098112,NaN,NaN
ZTF25aaasqpa,i,Full,1.245,40.203,24.523,8.245,6,0.156,-0.079170,0.027006,NaN,NaN
ZTF25aaasxhh,r,Full,1.755,1808.042,48.909,4.124,8,24.161,-0.584553,-0.000405,NaN,NaN
ZTF25aaasxhh,g,Full,1.587,665.142,48.289,1.298,7,23.729,-0.649243,0.001218,NaN,NaN
ZTF25aaasxhh,i,Full,0.646,665.142,46.254,1.008,4,22.004,-1.590550,0.001632,NaN,NaN
ZTF25aaasyqw,r,Bazin,8.386,8.854,-27.956,0.321,36,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaasyqw,g,Bazin,5.923,10.831,-51.515,0.405,31,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaaszhh,r,Full,2.701,66.824,7.235,3.662,10,39.870,-0.244693,0.016228,NaN,NaN
ZTF25aaaszhh,g,Full,2.135,24.583,5.589,0.034,4,39.870,-0.263048,0.068782,NaN,NaN
ZTF25aaaszhh,i,Full,7.313,170.302,-2.765,0.034,1,NaN,-0.017355,0.005487,NaN,NaN
ZTF25aaaszht,r,Full,224.563,4.308,88.677,0.034,2,NaN,-0.002861,-0.002691,NaN,NaN
ZTF25aaaszht,g,Full,610.426,7.102,78.677,0.049,2,NaN,0.005321,0.006785,NaN,NaN
ZTF25aaathgi,g,Full,2.722,0.007,7.049,0.113,6,4.487,-0.289676,0.108673,NaN,NaN
ZTF25aaathgi,r,Full,3.740,0.007,9.827,0.185,5,6.015,-0.219178,0.026057,NaN,NaN
ZTF25aaathgi,i,Full,7.400,0.007,17.049,0.034,2,3.724,-0.094984,-0.013711,NaN,NaN
ZTF25aaawevx,r,Bazin,3.805,25.687,6.457,1.606,17,3.886,-0.201835,0.051391,NaN,NaN
ZTF25aaawevx,g,Bazin,2.620,12.492,7.033,0.597,13,30.929,-0.213499,0.080866,NaN,NaN
ZTF25aaawpmf,r,Bazin,6.291,25.162,22.642,1.064,17,65.941,-0.098425,0.039196,NaN,NaN
