object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aafywpr,g,Full,2.374,227.018,4.256,0.648,11,35.943,-0.197711,0.060089,NaN,NaN
ZTF25aafywpr,i,Full,2.392,1566.294,3.431,0.034,3,2.167,-0.156569,0.000688,NaN,NaN
ZTF25aafzmjz,g,Bazin,1.366,24.312,2.056,0.524,4,0.826,-0.323354,-0.064786,NaN,NaN
ZTF25aafzmjz,r,Bazin,1.653,1.000,-48.679,2.676,4,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aafzmjz,i,Bazin,6.206,2.937,-99.609,0.069,2,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagacqk,r,Bazin,1.000,13.218,9.943,1.713,11,8.919,-0.018314,0.055539,NaN,NaN
ZTF25aagacqk,g,Bazin,3.252,1.171,-46.197,26.001,8,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagbdmk,g,Bazin,3.239,1.000,-45.171,0.000,1,NaN,NaN,NaN,NaN,NaN
ZTF25aagbdyg,r,Full,3.066,24.721,3.834,1.395,50,89.778,-0.012256,0.043920,NaN,NaN
ZTF25aagbdyg,g,Full,3.651,12.815,6.384,6.439,23,89.778,-0.003637,0.084725,NaN,NaN
ZTF25aagbdyg,i,Full,6.363,66.974,10.745,0.034,2,89.778,-0.044142,0.016206,NaN,NaN
ZTF25aagbelb,r,Bazin,2.814,18.920,7.423,0.824,25,40.854,-0.125587,0.032500,NaN,NaN
ZTF25aagbelb,g,Bazin,3.788,8.757,11.510,1.395,9,40.854,-0.088957,0.052808,NaN,NaN
ZTF25aagbelb,i,Bazin,20.335,3.184,-99.926,1.653,3,NaN,0.000000,0.000000,NaN,NaN
ZTF25aagbene,r,Bazin,3.763,10.851,0.520,0.258,9,2.010,-0.008906,0.067708,NaN,NaN
ZTF25aagbene,g,Bazin,4.031,5.456,7.176,0.051,6,5.551,-0.006514,0.136870,NaN,NaN
ZTF25aagbifh,r,Full,4.202,17.659,6.161,0.975,13,33.097,-0.149720,0.060255,NaN,NaN
ZTF25aagbifh,g,Full,3.530,14.558,5.434,0.196,6,33.097,-0.153761,0.074141,NaN,NaN
ZTF25aagbifh,i,Full,11.423,11.066,8.977,0.034,2,11.975,-0.047155,0.083992,NaN,NaN
ZTF25aagbkad,r,Bazin,2.455,8.283,6.740,3.247,24,1.024,-0.073450,0.015772,NaN,NaN
ZTF25aagbkad,g,Bazin,2.368,17.849,1.488,3.551,12,15.016,-0.073020,0.096598,NaN,NaN
ZTF25aagbkad,i,Bazin,32.286,1.420,-100.000,1.007,2,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagbkaj,r,Bazin,2.769,33.115,0.152,3.293,72,66.339,0.012600,0.054192,NaN,NaN
ZTF25aagbkaj,g,Bazin,3.226,12.942,3.479,1.834,23,77.150,0.033581,0.005757,NaN,NaN
ZTF25aagbkaj,i,Bazin,4.226,18.377,-3.323,0.000,3,77.150,0.042347,0.010870,NaN,NaN
ZTF25aagbpag,r,Bazin,2.514,8.827,3.572,2.454,9,18.084,-0.061615,0.057784,NaN,NaN
ZTF25aagbpag,g,Bazin,1.000,6.767,2.058,0.011,5,33.951,-0.050459,0.019422,NaN,NaN
ZTF25aagbquz,r,Bazin,7.884,10.517,8.789,1.387,14,24.562,0.018168,0.031036,NaN,NaN
ZTF25aagbquz,g,Bazin,1.000,10.527,-4.493,0.186,8,38.023,0.084023,0.014453,NaN,NaN
ZTF25aagbrpb,r,Full,665.142,142.137,25.920,3.108,68,65.037,0.006850,0.006931,NaN,NaN
ZTF25aagbrpb,g,Full,0.264,107.174,28.396,2.157,57,100.192,0.010131,0.010131,NaN,NaN
ZTF25aagbsgv,r,FastDecay,NaN,36.350,14.975,4.738,10,NaN,0.000000,0.029869,NaN,NaN
ZTF25aagbsgv,g,FastDecay,NaN,13.372,12.114,4.444,6,15.406,0.000000,0.081193,NaN,NaN
ZTF25aagbsgv,i,FastDecay,NaN,75.509,22.046,0.034,1,NaN,0.002470,0.014379,NaN,NaN
ZTF25aagbtlp,r,Bazin,3.102,25.765,4.438,8.916,13,55.983,-0.081169,0.046257,NaN,NaN
ZTF25aagbtlp,g,Bazin,2.592,11.148,6.228,5.604,10,55.983,-0.093017,0.122093,NaN,NaN
ZTF25aagdrsk,r,Full,3.736,25.559,7.471,0.181,10,3.856,-0.152649,0.041798,NaN,NaN
ZTF25aagdrsk,g,Full,3.238,16.766,6.842,0.345,8,34.882,-0.167939,0.064496,NaN,NaN
ZTF25aageefz,r,Bazin,3.432,26.884,7.676,1.679,23,45.977,-0.174789,0.044613,NaN,NaN
ZTF25aageefz,g,Bazin,5.601,1.661,-67.056,110.354,10,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aageefz,i,Bazin,1.000,2.853,7.478,0.000,2,45.977,-0.104123,0.000019,NaN,NaN
ZTF25aagevje,r,Full,9.079,33.712,26.256,2.384,21,70.921,-0.068033,0.029755,NaN,NaN
ZTF25aagevje,g,Full,6.525,40.306,16.256,4.510,14,70.921,-0.076421,0.026763,NaN,NaN
ZTF25aagevje,i,Full,24.680,91.638,36.256,0.034,1,NaN,-0.006565,0.000398,NaN,NaN
ZTF25aagezfh,r,Bazin,2.927,25.566,26.599,1.888,37,65.022,-0.109948,0.041426,NaN,NaN
ZTF25aagezfh,g,Bazin,2.708,15.950,27.223,4.225,30,65.022,-0.115338,0.079091,NaN,NaN
ZTF25aagezfh,i,Bazin,11.869,1.000,-19.356,22.601,4,NaN,0.000000,0.000000,NaN,NaN
ZTF25aagffki,r,Bazin,3.691,33.115,5.970,3.328,8,4.056,-0.281939,-0.005751,NaN,NaN
ZTF25aagffki,g,Bazin,1.741,1.000,-52.036,26.895,5,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagffki,i,Bazin,1.417,33.115,7.071,0.000,2,5.558,-0.069740,0.014895,NaN,NaN
ZTF25aagfhmz,r,Full,379.097,1808.042,77.238,2.005,59,NaN,-0.000622,-0.000271,NaN,NaN
ZTF25aagfhmz,g,Full,139.462,805.462,67.543,2.190,21,NaN,-0.000956,0.000647,NaN,NaN
ZTF25aagfpoi,g,Bazin,1.000,1.000,-100.000,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagfpoi,r,Bazin,13.844,1.146,-78.951,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aagfsco,r,Bazin,1.000,27.689,7.312,0.166,5,6.233,-0.031178,0.027504,NaN,NaN
ZTF25aagfsco,g,Bazin,6.715,2.120,-100.000,2.224,5,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aagfsco,i,Bazin,11.052,1.587,-100.000,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaggcmf,g,Bazin,1.000,33.115,3.633,0.747,6,2.246,-0.230267,0.020062,NaN,NaN
ZTF25aaggcmf,r,Bazin,2.118,28.606,4.178,0.000,4,2.696,-0.258491,0.032038,NaN,NaN
ZTF25aaggcmf,i,Bazin,1.925,1.000,-85.696,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaggdnf,r,Bazin,2.227,23.482,3.722,2.342,19,35.832,-0.149693,0.040381,NaN,NaN
ZTF25aaggdnf,g,Bazin,2.149,3.687,9.986,1.826,6,16.745,-0.074634,0.002945,NaN,NaN
ZTF25aaggdnf,i,Bazin,1.000,11.778,0.585,0.000,2,22.327,0.007229,0.046175,NaN,NaN
ZTF25aaggkxk,r,Full,665.142,92.928,53.720,8.852,119,177.824,0.007334,0.010996,NaN,NaN
ZTF25aaggkxk,g,Full,244.692,60.444,53.271,1.788,37,212.021,0.013365,0.016646,NaN,NaN
ZTF25aaggnvd,r,Bazin,16.570,15.237,-24.511,0.604,33,NaN,0.011176,0.000550,NaN,NaN
ZTF25aaggnvd,g,Bazin,2.704,3.058,9.573,0.353,8,50.909,0.044688,0.000000,NaN,NaN
ZTF25aaggnvd,i,Bazin,1.924,15.920,8.659,0.000,2,69.868,-0.081403,0.007319,NaN,NaN
ZTF25aaggpqs,g,Bazin,1.857,2.742,6.941,0.288,6,NaN,-0.062244,0.097394,NaN,NaN
ZTF25aaggpqs,r,Bazin,33.108,2.411,-84.280,2.797,5,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaggqco,g,FastDecay,NaN,74.774,77.104,0.562,25,43.880,0.015168,0.014520,NaN,NaN
ZTF25aaggqco,r,FastDecay,NaN,27.508,67.104,10.279,24,58.964,0.017648,0.039470,NaN,NaN
ZTF25aaggugu,r,Full,2.450,45.983,2.510,1.126,10,1.492,-0.143035,0.023599,NaN,NaN
ZTF25aaggugu,g,Full,4.450,16.916,5.209,2.031,9,32.992,-0.110431,0.062904,NaN,NaN
ZTF25aaggugu,i,Full,0.901,104.062,-5.000,0.034,1,NaN,0.010149,0.010434,NaN,NaN
ZTF25aaghwhw,r,Bazin,1.000,1.438,5.738,0.285,4,1.376,-0.298684,0.307528,NaN,NaN
ZTF25aaghwhw,g,Bazin,9.739,3.419,12.093,0.000,2,4.304,0.269704,0.438407,NaN,NaN
ZTF25aagjcul,r,Full,2.863,11.571,22.667,7.567,15,50.099,-0.359549,0.046980,NaN,NaN
ZTF25aagjcul,g,Full,2.251,4.259,23.133,3.401,10,50.099,-0.458941,0.118619,NaN,NaN
ZTF25aagjcul,i,Full,3.346,6.830,23.803,0.034,2,50.099,-0.311100,0.066292,NaN,NaN
ZTF25aaglbkb,r,Full,7.162,78.758,10.660,0.116,4,NaN,-0.067034,0.031956,NaN,NaN
ZTF25aaglbkb,g,Full,6.920,28.973,8.489,0.189,4,NaN,-0.057548,0.066688,NaN,NaN
ZTF25aaglbkb,i,Full,10.946,202.803,20.516,0.034,1,NaN,-0.050564,-0.017971,NaN,NaN
ZTF25aaglicm,r,Full,37.804,91.650,54.730,4.298,75,43.227,-0.001666,0.003678,NaN,NaN
ZTF25aaglicm,g,Full,39.778,193.591,51.197,0.653,15,48.139,0.001684,-0.001917,NaN,NaN
ZTF25aaglrlj,r,Bazin,3.060,28.617,4.548,1.102,10,50.914,-0.092925,0.034245,NaN,NaN
ZTF25aaglrlj,g,Bazin,4.318,9.259,12.786,7.734,7,50.914,-0.068318,0.035832,NaN,NaN
ZTF25aagoicl,r,Full,2.522,29.074,18.329,6.392,29,62.978,-0.207442,0.037344,NaN,NaN
ZTF25aagoicl,g,Full,3.048,15.637,20.954,14.944,28,62.978,-0.203783,0.069434,NaN,NaN
ZTF25aagoicl,i,Full,0.928,60.623,11.534,0.034,2,62.978,-0.098266,0.017910,NaN,NaN
ZTF25aagowuq,i,Bazin,1.000,1.538,11.401,0.000,2,NaN,-0.012790,-0.027097,NaN,NaN
ZTF25aagqbcm,g,Full,2.668,10.511,7.637,8.924,5,4.268,-0.306795,0.039595,NaN,NaN
ZTF25aagqbcm,r,Full,4.478,7.341,12.732,1.073,4,5.387,-0.179335,-0.033328,NaN,NaN
ZTF25aagrecw,r,Full,0.042,685.600,100.000,1.479,29,NaN,0.001584,0.001584,NaN,NaN
ZTF25aagrecw,g,Full,0.019,579.176,100.000,6.876,27,NaN,0.001875,0.001875,NaN,NaN
ZTF25aagrecw,i,Full,0.015,1808.042,94.869,0.034,1,NaN,0.000601,0.000601,NaN,NaN
ZTF25aagrfgg,r,Bazin,1.000,28.239,-11.956,1.528,19,38.695,0.039328,0.042959,NaN,NaN
ZTF25aagrfgg,g,Bazin,1.765,1.705,30.000,8.589,6,43.059,0.050526,-0.000000,NaN,NaN
ZTF25aagsnnc,g,Full,198.654,1808.042,100.000,41.789,32,NaN,-0.000881,-0.000375,NaN,NaN
ZTF25aagsnnc,r,Full,539.998,665.142,90.000,348.167,13,NaN,0.000817,0.000911,NaN,NaN
ZTF25aagsnnc,i,Full,73.081,1808.042,100.000,0.292,1,NaN,-0.000349,0.000369,NaN,NaN
ZTF25aagtjfn,r,Full,0.007,173.959,7.591,0.878,179,110.406,0.006241,0.006241,NaN,NaN
ZTF25aagtjfn,g,Full,18.705,141.097,70.658,0.258,56,86.000,-0.000537,0.007694,NaN,NaN
ZTF25aagudcs,r,Bazin,2.038,22.509,4.960,0.370,7,NaN,-0.090234,0.007333,NaN,NaN
ZTF25aagudcs,g,Bazin,1.146,6.153,7.326,0.141,6,NaN,-0.016532,0.046015,NaN,NaN
ZTF25aagudcs,i,Bazin,1.000,1.000,-0.143,0.000,2,NaN,0.117609,0.000030,NaN,NaN
ZTF25aagufmn,g,Full,3.550,11.516,7.210,0.354,13,24.979,-0.165205,0.089119,NaN,NaN
ZTF25aaguvrc,r,Full,10.003,1808.042,0.585,3.371,61,0.000,-0.023397,0.000595,NaN,NaN
ZTF25aaguvrc,g,Full,3.680,665.142,1.005,2.773,33,0.587,-0.020413,0.001632,NaN,NaN
ZTF25aaguvrc,i,Full,25.884,1808.042,10.585,1.122,3,2.346,-0.014856,-0.000611,NaN,NaN
ZTF25aaguwwh,g,Bazin,1.988,33.115,7.779,0.000,2,NaN,-0.019036,-0.087533,NaN,NaN
ZTF25aaguwwh,r,Bazin,13.725,1.378,-71.359,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaguyai,r,Full,10.279,394.987,39.518,1.323,49,12.019,-0.034953,0.002569,NaN,NaN
ZTF25aaguyai,g,Full,10.606,145.308,43.623,1.771,25,10.016,-0.036734,0.007162,NaN,NaN
ZTF25aaguyai,i,Full,15.945,458.939,49.518,0.071,3,12.520,-0.024924,0.000405,NaN,NaN
ZTF25aagvkqj,r,Full,2.803,28.418,8.056,1.283,14,48.794,-0.188574,0.038203,NaN,NaN
ZTF25aagvkqj,g,Full,3.297,14.895,10.698,0.427,10,48.794,-0.191378,0.072864,NaN,NaN
ZTF25aagvkqj,i,Full,4.007,10.923,8.550,0.034,2,48.794,-0.103644,0.099330,NaN,NaN
ZTF25aagzocg,r,Bazin,3.406,21.495,9.580,1.556,15,48.884,-0.218363,0.062922,NaN,NaN
ZTF25aagzocg,g,Bazin,1.323,33.115,-100.000,37.539,10,NaN,0.003715,0.001322,NaN,NaN
ZTF25aahccao,r,Full,2.257,27.679,6.462,3.664,39,85.848,-0.066041,0.039227,NaN,NaN
ZTF25aahccao,g,Full,2.670,11.514,6.123,2.045,11,85.848,-0.015985,0.094294,NaN,NaN
ZTF25aahccao,i,Full,6.134,75.238,5.509,0.034,2,9.922,-0.002416,0.014428,NaN,NaN
ZTF25aahcktj,r,FastDecay,NaN,73.491,28.922,30.613,50,153.652,0.014774,0.014774,NaN,NaN
ZTF25aahcktj,g,FastDecay,NaN,148.413,38.922,2.708,5,102.091,0.007316,0.007316,NaN,NaN
ZTF25aahdybs,r,FastDecay,NaN,31.672,100.000,1.407,50,4.301,-0.000000,0.034281,NaN,NaN
ZTF25aahdybs,g,FastDecay,NaN,33.546,95.007,2.213,43,13.441,0.000361,0.032366,NaN,NaN
ZTF25aaheicm,r,Full,114.786,10.144,0.995,3.037,14,6.625,0.082574,0.102549,NaN,NaN
ZTF25aaheicm,g,Full,42.227,6.368,1.786,3.514,8,8.432,0.081435,0.159368,NaN,NaN
ZTF25aaheicm,i,Full,88.330,27.575,7.061,0.034,1,NaN,-0.006327,0.033439,NaN,NaN
ZTF25aahfvex,r,Bazin,2.383,33.112,7.306,3.290,24,52.011,-0.260732,0.035709,NaN,NaN
ZTF25aahfvex,g,Bazin,2.722,20.425,9.045,0.628,8,52.011,-0.268468,0.065555,NaN,NaN
ZTF25aahmbaq,r,FastDecay,NaN,148.413,97.824,1.038,159,135.434,0.014835,0.007316,NaN,NaN
ZTF25aahmbaq,g,FastDecay,NaN,148.413,82.935,1.190,105,126.537,0.012579,0.007316,NaN,NaN
ZTF25aahmbod,r,Bazin,2.699,8.998,18.583,1.219,8,12.764,-0.039925,0.073202,NaN,NaN
ZTF25aahmbod,g,Bazin,1.163,2.072,21.605,7.176,6,30.975,-0.002361,0.114954,NaN,NaN
ZTF25aahmbwa,r,Bazin,3.936,33.115,-2.608,1.018,19,32.948,0.009124,0.034644,NaN,NaN
ZTF25aahmbwa,g,Bazin,3.910,1.000,-100.000,20.248,6,NaN,0.000000,0.000000,NaN,NaN
ZTF25aahmcwz,r,Bazin,33.115,33.115,0.370,0.423,40,NaN,0.008313,0.000972,NaN,NaN
ZTF25aahmcwz,g,Bazin,33.115,33.115,17.573,0.771,31,NaN,0.006407,0.000871,NaN,NaN
ZTF25aahmcwz,i,Bazin,1.511,7.355,-99.286,0.733,4,NaN,0.000000,0.000000,NaN,NaN
ZTF25aahmdjb,r,Full,4.005,18.128,13.967,17.122,21,68.916,-0.145362,0.059889,NaN,NaN
ZTF25aahmdjb,g,Full,4.103,14.525,13.385,5.089,17,68.916,-0.130524,0.074748,NaN,NaN
ZTF25aahmecj,r,Bazin,4.104,23.394,7.360,0.514,10,69.884,-0.062152,0.031861,NaN,NaN
ZTF25aahmecj,g,Bazin,3.740,11.760,9.731,0.575,8,69.884,-0.062972,0.023793,NaN,NaN
ZTF25aahrlwa,r,Full,650.987,32.217,58.742,2.373,51,60.666,0.042904,0.032897,NaN,NaN
ZTF25aahrlwa,g,Full,665.142,62.158,50.263,1.899,15,65.028,0.048447,0.016686,NaN,NaN
ZTF25aahsvoc,r,Full,0.030,1808.042,0.096,47.103,14,39.930,-0.009914,0.027910,NaN,NaN
ZTF25aahsvoc,g,Full,0.082,1808.042,-2.226,152.046,8,26.888,0.052004,0.000601,NaN,NaN
ZTF25aahtbjr,r,Bazin,3.319,26.017,9.995,1.779,105,84.785,-0.105795,0.033759,NaN,NaN
ZTF25aahtbjr,g,Bazin,3.070,23.875,8.532,6.400,36,84.785,-0.099523,0.056265,NaN,NaN
ZTF25aahtbjr,i,Bazin,17.314,33.115,30.000,1.102,4,3.408,-0.011773,0.020141,NaN,NaN
ZTF25aahtica,r,Full,4.022,26.781,8.924,2.195,20,67.912,-0.122588,0.040540,NaN,NaN
ZTF25aahtica,g,Full,3.722,13.056,10.891,0.531,13,67.912,-0.151378,0.083158,NaN,NaN
ZTF25aahtica,i,Full,3.254,21.095,3.645,0.034,2,67.912,-0.036503,0.051470,NaN,NaN
ZTF25aahxaqz,g,Bazin,3.170,25.810,8.139,0.911,6,46.834,-0.239866,0.052968,NaN,NaN
ZTF25aahxijy,r,Bazin,1.944,14.193,5.052,1.272,19,37.900,-0.109753,0.022464,NaN,NaN
ZTF25aahxijy,g,Bazin,4.422,11.849,8.340,1.813,15,13.903,-0.078753,0.096880,NaN,NaN
ZTF25aahxijy,i,Bazin,21.820,1.000,-99.751,0.503,2,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaidlpx,r,Bazin,3.955,29.104,10.624,4.367,16,66.862,-0.182000,0.055564,NaN,NaN
ZTF25aaidlpx,g,Bazin,3.414,1.004,-100.000,237.620,9,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaifgjv,g,FastDecay,NaN,18.239,8.930,2.808,7,NaN,0.000000,0.059530,NaN,NaN
ZTF25aaifhpr,r,Bazin,1.693,33.115,3.416,0.346,6,2.660,-0.433980,0.005197,NaN,NaN
ZTF25aaifhpr,g,Bazin,1.000,1.209,10.769,1.001,6,4.066,-0.185305,-0.045899,NaN,NaN
ZTF25aaifhpr,i,Bazin,10.010,2.512,-100.000,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaigxcy,r,Bazin,1.019,5.798,-100.000,84.026,33,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaigxcy,g,Bazin,6.484,1.000,-68.210,128.463,22,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaigxcy,i,Bazin,11.408,1.941,-100.000,0.790,2,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaiitra,r,Bazin,3.214,21.665,8.622,0.569,8,5.975,-0.290401,0.052931,NaN,NaN
ZTF25aaiitra,g,Bazin,1.000,18.059,4.442,0.165,6,28.999,-0.361399,0.044111,NaN,NaN
ZTF25aaiitra,i,Bazin,2.449,1.179,-78.952,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaikmwc,r,Bazin,3.636,20.325,12.322,1.147,12,50.045,-0.180193,0.050856,NaN,NaN
ZTF25aaikmwc,g,Bazin,32.362,1.700,-58.264,17.146,6,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aailxex,g,Bazin,1.809,7.017,7.112,0.422,15,27.955,-0.284210,0.102638,NaN,NaN
ZTF25aailxex,r,Bazin,2.612,15.379,7.569,0.959,15,27.955,-0.278602,0.071499,NaN,NaN
ZTF25aainerh,g,Bazin,1.000,5.661,11.363,3.230,9,37.816,-0.060415,0.024226,NaN,NaN
ZTF25aainerh,r,Bazin,1.001,33.115,5.510,0.000,2,37.816,-3.818325,0.035012,NaN,NaN
ZTF25aaiokdh,r,Bazin,4.706,16.804,17.412,0.474,18,52.874,-0.101147,0.046915,NaN,NaN
ZTF25aaiokdh,g,Bazin,2.370,10.638,13.730,0.469,9,52.874,-0.166296,0.040414,NaN,NaN
ZTF25aaiotvj,g,Full,3.294,10.933,22.859,6.343,13,65.063,-0.283402,0.099287,NaN,NaN
ZTF25aaiotvj,r,Full,2.808,21.310,13.758,1.350,9,65.063,-0.264496,0.050949,NaN,NaN
ZTF25aaiouoy,r,Bazin,3.742,31.135,7.796,3.027,36,67.876,-0.135300,0.062304,NaN,NaN
ZTF25aaiouoy,g,Bazin,3.065,16.672,9.416,8.735,31,67.876,-0.145521,0.103629,NaN,NaN
ZTF25aaipaml,g,Full,3.669,12.964,13.312,0.771,18,52.973,-0.190184,0.083703,NaN,NaN
ZTF25aaipaml,r,Full,3.254,28.439,11.185,1.811,15,52.973,-0.192486,0.038168,NaN,NaN
ZTF25aaipveb,r,Full,1.920,1808.042,2.490,3.727,31,2.292,-0.147787,0.000600,NaN,NaN
ZTF25aaipveb,g,Full,1.365,665.142,1.157,11.081,8,0.955,-0.104261,0.001632,NaN,NaN
ZTF25aaipwch,r,Bazin,2.811,18.168,9.000,0.645,19,52.102,-0.125717,0.028824,NaN,NaN
ZTF25aaipwch,g,Bazin,1.418,33.115,-61.461,92.706,17,NaN,0.016249,0.007580,NaN,NaN
ZTF25aaiquqz,r,Full,209.201,0.060,100.000,1.153,103,NaN,0.005064,0.012151,NaN,NaN
ZTF25aaiquqz,g,Full,568.668,0.022,90.000,3.832,30,1.585,0.007057,0.013534,NaN,NaN
ZTF25aaiquqz,i,Full,568.668,0.022,90.000,0.115,2,15.454,0.008872,0.020703,NaN,NaN
ZTF25aairaww,r,Bazin,3.420,24.070,9.776,1.324,18,43.974,-0.233898,0.050461,NaN,NaN
ZTF25aairaww,g,Bazin,3.582,6.509,18.333,0.836,10,43.974,-0.083288,0.053120,NaN,NaN
ZTF25aairaxg,g,Bazin,4.119,8.196,18.270,5.363,25,85.986,-0.060824,0.001597,NaN,NaN
ZTF25aairaxg,r,Bazin,3.828,33.115,9.643,18.288,23,85.986,-0.097231,0.033648,NaN,NaN
ZTF25aairels,g,Bazin,4.809,7.029,13.234,0.629,8,NaN,-0.030216,0.062062,NaN,NaN
ZTF25aairels,r,Bazin,1.000,1.314,-100.000,15.400,6,NaN,0.000000,0.000000,NaN,NaN
ZTF25aairels,i,Bazin,1.000,1.000,-100.000,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aairenk,g,Bazin,3.305,12.239,10.078,2.791,18,36.889,-0.161713,0.075119,NaN,NaN
ZTF25aairenk,r,Bazin,2.518,15.199,9.755,0.785,12,36.889,-0.119551,0.036004,NaN,NaN
ZTF25aairevh,r,Full,2.528,19.829,5.713,25.563,22,37.032,-0.188643,0.054741,NaN,NaN
ZTF25aairevh,g,Full,4.016,8.199,11.381,4.112,10,37.032,-0.168535,0.130816,NaN,NaN
ZTF25aairfin,r,Bazin,8.830,33.115,5.645,1.347,48,17.091,-0.010311,0.012846,NaN,NaN
ZTF25aairfin,g,Bazin,9.039,17.286,8.309,0.958,24,47.610,0.007040,0.019921,NaN,NaN
ZTF25aairhqk,r,Full,0.007,118.582,18.998,19.824,154,167.218,0.007198,0.009156,NaN,NaN
ZTF25aairhqk,g,Full,0.007,98.578,-1.402,16.260,73,197.986,0.011014,0.011014,NaN,NaN
ZTF25aairhqk,i,Full,0.014,322.338,15.507,0.400,2,42.808,0.003368,0.003368,NaN,NaN
ZTF25aairncf,r,Bazin,1.000,26.753,5.559,1.906,68,106.216,0.038990,0.017165,NaN,NaN
ZTF25aairncf,g,Bazin,33.115,10.701,29.523,2.241,44,115.699,0.074014,0.000191,NaN,NaN
ZTF25aaisert,r,Bazin,1.000,17.967,30.000,0.485,41,NaN,0.005307,0.000019,NaN,NaN
ZTF25aaisert,g,Bazin,24.919,21.064,30.000,0.469,37,NaN,0.004087,0.000041,NaN,NaN
ZTF25aaisfid,r,Bazin,1.244,30.599,2.915,2.527,38,86.912,-0.038683,0.069927,NaN,NaN
ZTF25aaisfid,g,Bazin,2.927,10.948,13.949,4.369,16,86.912,-0.127527,0.012213,NaN,NaN
ZTF25aaisfid,i,Bazin,1.003,22.103,-22.002,0.000,2,NaN,0.009471,0.000603,NaN,NaN
ZTF25aaismsi,r,Bazin,6.562,1.673,-100.000,0.711,22,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaisnsy,g,Full,3.296,14.607,7.331,1.474,26,60.056,-0.125446,0.074328,NaN,NaN
ZTF25aaisnsy,r,Full,3.948,39.707,8.378,11.062,22,60.056,-0.117360,0.027339,NaN,NaN
ZTF25aaitagu,r,Full,3.614,1808.042,12.332,2.141,19,64.941,-0.169234,0.029911,NaN,NaN
ZTF25aaitagu,g,Full,3.201,665.142,11.003,0.679,14,64.941,-0.159137,0.001632,NaN,NaN
ZTF25aaitagy,g,Bazin,3.626,11.593,12.118,1.269,21,41.985,-0.126245,0.061810,NaN,NaN
ZTF25aaitagy,r,Bazin,4.387,26.732,7.477,1.192,16,41.985,-0.128429,0.046181,NaN,NaN
ZTF25aaitgoe,g,Bazin,3.882,33.115,8.470,0.202,4,6.388,-0.363377,0.007627,NaN,NaN
ZTF25aaitgoe,r,Bazin,1.000,8.066,13.568,0.000,2,NaN,-0.000118,0.042340,NaN,NaN
ZTF25aaitrgx,r,Full,2.894,27.180,10.564,4.017,25,48.905,-0.233406,0.039938,NaN,NaN
ZTF25aaitrgx,g,Full,1.086,17.093,11.396,2.968,8,48.905,-0.888589,0.063520,NaN,NaN
ZTF25aaittoe,r,Bazin,3.286,33.115,9.080,1.651,26,46.936,-0.219861,0.034450,NaN,NaN
ZTF25aaittoe,g,Bazin,7.538,2.611,-93.879,90.470,15,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaittoe,i,Bazin,8.615,1.000,-37.144,0.098,2,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaittqc,r,Full,3.389,23.936,3.722,6.786,43,74.975,-0.025960,0.045360,NaN,NaN
ZTF25aaittqc,g,Full,3.923,12.577,6.484,11.085,31,74.975,-0.023821,0.086329,NaN,NaN
ZTF25aaitvjt,r,Bazin,2.925,2.063,-68.894,0.830,2,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaitvjt,g,Bazin,4.629,1.000,-91.910,0.000,1,NaN,-0.000000,-0.000000,NaN,NaN
ZTF25aaiushx,r,Bazin,2.274,20.771,1.695,4.919,64,74.737,0.004451,0.046232,NaN,NaN
ZTF25aaiushx,g,Bazin,3.187,10.366,6.705,7.956,31,74.737,-0.016788,0.014340,NaN,NaN
ZTF25aaiushx,i,Bazin,1.000,1.000,-57.614,0.000,1,NaN,0.000000,0.000000,NaN,NaN
ZTF25aaivcgm,r,Bazin,16.856,8.342,-4.073,1.000,6,92.925,0.028465,0.000002,NaN,NaN
